;title;tconst;primaryTitle;startYear;runtimeMinutes;genres;averageRating;numVotes;Action;Adult;Adventure;Animation;Biography;Comedy;Crime;Documentary;Drama;Family;Fantasy;Film-Noir;Game-Show;History;Horror;Music;Musical;Mystery;News;Reality-TV;Romance;Sci-Fi;Short;Sport;Talk-Show;Thriller;War;Western;decade
18723;Patton;tt0066206;Patton;1970;172;Biography,Drama,War;8.0;100673;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1970
18724;Peau d'âne;tt0066207;Donkey Skin;1970;91;Drama,Fantasy,Musical;7.0;5153;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1970
18726;L'arnaqueuse;tt0066212;Perfect Friday;1970;94;Comedy,Crime;6.4;800;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18727;Vanilla;tt0066214;Performance;1970;105;Crime,Drama;6.8;10274;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18734;Fifi Brindacier et les pirates;tt0066227;Pippi in the South Seas;1970;86;Adventure,Comedy,Drama;6.9;5062;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18738;L'adversaire;tt0066237;The Adversary;1970;110;Drama;8.1;1706;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18739;Priez les morts, tuez les vivants;tt0066240;Shoot the Living and Pray for the Dead;1971;90;Western;6.2;724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1970
18741;La vie privée de Sherlock Holmes;tt0066249;The Private Life of Sherlock Holmes;1970;125;Adventure,Comedy,Crime;7.0;11941;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18745;Narcotic Bureau;tt0066258;Puppet on a Chain;1970;98;Action,Crime,Thriller;5.9;1109;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
18746;Portrait d'une enfant déchue;tt0066262;Puzzle of a Downfall Child;1970;105;Drama;6.6;765;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18747;Les randonnées de Fifi Brindacier;tt0066265;Pippi on the Run;1970;94;Adventure,Comedy,Drama;6.8;3677;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18750;Les enfants du chemin de fer;tt0066279;The Railway Children;1970;109;Drama,Family;7.3;4764;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18757;Rio Lobo;tt0066301;Rio Lobo;1970;114;War,Western;6.7;12168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1970
18761;La rupture;tt0066318;The Breach;1970;124;Thriller;7.2;1728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1970
18762;La Fille d'Irlande;tt0066319;Ryan's Daughter;1970;200;Drama,Romance;7.4;9734;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18763;La Fille de Ryan;tt0066319;Ryan's Daughter;1970;200;Drama,Romance;7.4;9734;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18770;Rapports intimes au collège de jeunes filles;tt0066341;The School Girls;1970;90;Comedy,Drama,Romance;4.7;672;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1970
18771;Scrooge;tt0066344;Scrooge;1970;113;Drama,Family,Fantasy;7.5;10838;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18775;Les yeux de la nuit;tt0066357;Nightmares Come at Night;1970;85;Crime,Drama,Horror;4.8;626;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18781;Sexualité speciale;tt0066380;Vampyros Lesbos;1971;89;Drama,Horror;5.3;4614;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
18782;L'héritière de Dracula;tt0066380;Vampyros Lesbos;1971;89;Drama,Horror;5.3;4614;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1970
